,Year,Country,GDP (10^10 USD)
0,2001,Afghanistan,0.2813571754
1,2002,Afghanistan,0.3825701439
2,2003,Afghanistan,0.4520946819
3,2004,Afghanistan,0.5224896719
4,2005,Afghanistan,0.6203256539
5,2006,Afghanistan,0.6971758282
6,2007,Afghanistan,0.9747886187
7,2008,Afghanistan,1.0109297048
8,2009,Afghanistan,1.2416152732
9,2010,Afghanistan,1.5856668556
10,2011,Afghanistan,1.7805098206
11,2012,Afghanistan,1.9907329778
12,2013,Afghanistan,2.0146416758
13,2014,Afghanistan,2.0497128556
14,2015,Afghanistan,1.9134221645
15,2016,Afghanistan,1.8116572395
16,2017,Afghanistan,1.8753456498
17,2018,Afghanistan,1.8053222687
18,2019,Afghanistan,1.879944449
19,2020,Afghanistan,1.9955929052
20,2001,Bangladesh,5.3991289844
21,2002,Bangladesh,5.4724081491
22,2003,Bangladesh,6.0158929188
23,2004,Bangladesh,6.510854425
24,2005,Bangladesh,6.947600143
25,2006,Bangladesh,7.1795735672
26,2007,Bangladesh,7.9611644984
27,2008,Bangladesh,9.1636997445
28,2009,Bangladesh,10.2
29,2010,Bangladesh,11.5
30,2011,Bangladesh,12.9
31,2012,Bangladesh,13.3
32,2013,Bangladesh,15.0
33,2014,Bangladesh,17.3
34,2015,Bangladesh,19.5
35,2016,Bangladesh,26.5
36,2017,Bangladesh,29.4
37,2018,Bangladesh,32.1
38,2019,Bangladesh,35.1
39,2020,Bangladesh,37.4
40,2001,Bhutan,0.049611022569999996
41,2002,Bhutan,0.05593452637000001
42,2003,Bhutan,0.06519354303
43,2004,Bhutan,0.07353484904
44,2005,Bhutan,0.08603910002000001
45,2006,Bhutan,0.09428798785
46,2007,Bhutan,0.1255767964
47,2008,Bhutan,0.1317517835
48,2009,Bhutan,0.1331343798
49,2010,Bhutan,0.1673464261
50,2011,Bhutan,0.1938441289
51,2012,Bhutan,0.1939730676
52,2013,Bhutan,0.1913162477
53,2014,Bhutan,0.2057330873
54,2015,Bhutan,0.2154921011
55,2016,Bhutan,0.2322730512
56,2017,Bhutan,0.2591358115
57,2018,Bhutan,0.2583335723
58,2019,Bhutan,0.2735683409
59,2020,Bhutan,0.2457604042
60,2001,India,48.5
61,2002,India,51.5
62,2003,India,60.8
63,2004,India,70.9
64,2005,India,82.0
65,2006,India,94.0
66,2007,India,122.0
67,2008,India,120.0
68,2009,India,134.0
69,2010,India,168.0
70,2011,India,182.0
71,2012,India,183.0
72,2013,India,186.0
73,2014,India,204.0
74,2015,India,210.0
75,2016,India,229.0
76,2017,India,265.0
77,2018,India,270.0
78,2019,India,284.0
79,2020,India,267.0
80,2001,Maldives,0.08700316768
81,2002,Maldives,0.089703125
82,2003,Maldives,0.1052121055
83,2004,Maldives,0.1226829563
84,2005,Maldives,0.1163362438
85,2006,Maldives,0.1575200391
86,2007,Maldives,0.1868383461
87,2008,Maldives,0.2271646188
88,2009,Maldives,0.2345294875
89,2010,Maldives,0.2588176055
90,2011,Maldives,0.277435024
91,2012,Maldives,0.2886163997
92,2013,Maldives,0.3295009238
93,2014,Maldives,0.3697353039
94,2015,Maldives,0.4129505319
95,2016,Maldives,0.4409942624
96,2017,Maldives,0.4816426257
97,2018,Maldives,0.5404344163
98,2019,Maldives,0.5726094799
99,2020,Maldives,0.3712604583
100,2001,Nepal,0.6007055042
101,2002,Nepal,0.6050875807
102,2003,Nepal,0.6330473097
103,2004,Nepal,0.7273938315
104,2005,Nepal,0.8130258378
105,2006,Nepal,0.9043715356
106,2007,Nepal,1.0325618017
107,2008,Nepal,1.2545438605
108,2009,Nepal,1.2854985464
109,2010,Nepal,1.6002656434
110,2011,Nepal,2.1573872421
111,2012,Nepal,2.1703100877
112,2013,Nepal,2.2162204925
113,2014,Nepal,2.2731612922
114,2015,Nepal,2.4360801287
115,2016,Nepal,2.4524109484
116,2017,Nepal,2.897158894
117,2018,Nepal,3.3111525237
118,2019,Nepal,3.4186180699
119,2020,Nepal,3.3433659301
120,2001,Pakistan,9.714561848
121,2002,Pakistan,9.7923302809
122,2003,Pakistan,11.2
123,2004,Pakistan,13.2
124,2005,Pakistan,14.5
125,2006,Pakistan,16.2
126,2007,Pakistan,18.4
127,2008,Pakistan,20.2
128,2009,Pakistan,18.7
129,2010,Pakistan,19.7
130,2011,Pakistan,23.1
131,2012,Pakistan,25.0
132,2013,Pakistan,25.9
133,2014,Pakistan,27.1
134,2015,Pakistan,30.0
135,2016,Pakistan,31.4
136,2017,Pakistan,33.9
137,2018,Pakistan,35.6
138,2019,Pakistan,32.1
139,2020,Pakistan,30.0
140,2001,Sri Lanka,1.5749753805
141,2002,Sri Lanka,1.6536535647
142,2003,Sri Lanka,1.8881765437
143,2004,Sri Lanka,2.0662525941
144,2005,Sri Lanka,2.4405791045
145,2006,Sri Lanka,2.8279802406
146,2007,Sri Lanka,3.235023876
147,2008,Sri Lanka,4.0713826215
148,2009,Sri Lanka,4.2066224093
149,2010,Sri Lanka,5.8636161082
150,2011,Sri Lanka,6.7753284044
151,2012,Sri Lanka,7.0447216891
152,2013,Sri Lanka,7.7000578167
153,2014,Sri Lanka,8.2528535714
154,2015,Sri Lanka,8.5140955389
155,2016,Sri Lanka,8.8012282206
156,2017,Sri Lanka,9.4376237797
157,2018,Sri Lanka,9.4493871201
158,2019,Sri Lanka,8.9014978344
159,2020,Sri Lanka,8.4304298771
