Year,Country,"Life expectancy at birth, total (years)"
2001,Afghanistan,55.8
2002,Afghanistan,56.45
2003,Afghanistan,57.34
2004,Afghanistan,57.94
2005,Afghanistan,58.36
2006,Afghanistan,58.68
2007,Afghanistan,59.11
2008,Afghanistan,59.85
2009,Afghanistan,60.36
2010,Afghanistan,60.85
2011,Afghanistan,61.42
2012,Afghanistan,61.92
2013,Afghanistan,62.42
2014,Afghanistan,62.55
2015,Afghanistan,62.66
2016,Afghanistan,63.14
2017,Afghanistan,63.02
2018,Afghanistan,63.08
2019,Afghanistan,63.57
2020,Afghanistan,62.58
2001,Bangladesh,66.14
2002,Bangladesh,66.61
2003,Bangladesh,66.82
2004,Bangladesh,67.19
2005,Bangladesh,67.3
2006,Bangladesh,67.24
2007,Bangladesh,66.71
2008,Bangladesh,67.05
2009,Bangladesh,67.4
2010,Bangladesh,68.64
2011,Bangladesh,68.81
2012,Bangladesh,69.55
2013,Bangladesh,69.57
2014,Bangladesh,69.99
2015,Bangladesh,70.49
2016,Bangladesh,71.09
2017,Bangladesh,71.79
2018,Bangladesh,72.57
2019,Bangladesh,72.81
2020,Bangladesh,71.97
2001,Bhutan,63.44
2002,Bhutan,64.08
2003,Bhutan,64.7
2004,Bhutan,65.27
2005,Bhutan,65.81
2006,Bhutan,66.36
2007,Bhutan,66.95
2008,Bhutan,67.5
2009,Bhutan,67.9
2010,Bhutan,68.43
2011,Bhutan,68.88
2012,Bhutan,69.33
2013,Bhutan,69.71
2014,Bhutan,70.05
2015,Bhutan,70.34
2016,Bhutan,70.6
2017,Bhutan,70.85
2018,Bhutan,71.13
2019,Bhutan,71.39
2020,Bhutan,71.61
2001,India,63.09
2002,India,63.62
2003,India,64.09
2004,India,64.52
2005,India,65.0
2006,India,65.41
2007,India,65.79
2008,India,66.15
2009,India,66.51
2010,India,66.91
2011,India,67.36
2012,India,67.89
2013,India,68.46
2014,India,69.07
2015,India,69.64
2016,India,70.12
2017,India,70.47
2018,India,70.71
2019,India,70.91
2020,India,70.15
2001,Maldives,72.18
2002,Maldives,73.29
2003,Maldives,74.06
2004,Maldives,73.54
2005,Maldives,74.75
2006,Maldives,75.13
2007,Maldives,75.69
2008,Maldives,76.54
2009,Maldives,77.07
2010,Maldives,77.66
2011,Maldives,78.12
2012,Maldives,78.68
2013,Maldives,79.06
2014,Maldives,79.42
2015,Maldives,79.7
2016,Maldives,79.87
2017,Maldives,79.94
2018,Maldives,80.01
2019,Maldives,80.12
2020,Maldives,79.88
2001,Nepal,63.34
2002,Nepal,63.26
2003,Nepal,64.2
2004,Nepal,64.82
2005,Nepal,65.46
2006,Nepal,65.87
2007,Nepal,66.33
2008,Nepal,66.42
2009,Nepal,66.76
2010,Nepal,66.81
2011,Nepal,67.31
2012,Nepal,67.47
2013,Nepal,67.97
2014,Nepal,68.09
2015,Nepal,67.46
2016,Nepal,68.78
2017,Nepal,68.91
2018,Nepal,68.98
2019,Nepal,69.56
2020,Nepal,69.25
2001,Pakistan,62.42
2002,Pakistan,62.63
2003,Pakistan,62.84
2004,Pakistan,63.05
2005,Pakistan,62.47
2006,Pakistan,63.73
2007,Pakistan,63.85
2008,Pakistan,64.04
2009,Pakistan,64.14
2010,Pakistan,64.44
2011,Pakistan,64.65
2012,Pakistan,64.78
2013,Pakistan,65.15
2014,Pakistan,65.28
2015,Pakistan,65.7
2016,Pakistan,65.88
2017,Pakistan,66.3
2018,Pakistan,66.48
2019,Pakistan,66.76
2020,Pakistan,66.27
2001,Sri Lanka,70.79
2002,Sri Lanka,71.12
2003,Sri Lanka,71.37
2004,Sri Lanka,67.09
2005,Sri Lanka,72.12
2006,Sri Lanka,71.97
2007,Sri Lanka,72.05
2008,Sri Lanka,71.73
2009,Sri Lanka,69.19
2010,Sri Lanka,73.22
2011,Sri Lanka,73.38
2012,Sri Lanka,73.91
2013,Sri Lanka,74.24
2014,Sri Lanka,74.65
2015,Sri Lanka,74.93
2016,Sri Lanka,75.33
2017,Sri Lanka,75.4
2018,Sri Lanka,75.75
2019,Sri Lanka,76.01
2020,Sri Lanka,76.39
